Datetime,temperature(°C),temperature(°F),humidity(%),pressure(hPa)
13:32:24 15/01/2024, 15.30, 59.54, 58.92, 984.47
13:32:34 15/01/2024, 15.31, 59.55, 58.91, 984.48
13:32:44 15/01/2024, 15.31, 59.55, 58.94, 984.53
13:32:54 15/01/2024, 15.30, 59.54, 58.94, 984.58
13:33:04 15/01/2024, 15.31, 59.55, 58.94, 984.59
13:33:14 15/01/2024, 15.31, 59.56, 58.92, 984.65
13:33:24 15/01/2024, 15.31, 59.56, 58.93, 984.62
13:33:34 15/01/2024, 15.31, 59.55, 58.94, 984.59
13:33:44 15/01/2024, 15.30, 59.53, 58.93, 984.54
13:33:54 15/01/2024, 15.31, 59.55, 58.94, 984.56
13:34:04 15/01/2024, 15.31, 59.56, 58.95, 984.49
13:34:14 15/01/2024, 15.31, 59.55, 58.93, 984.53
13:34:24 15/01/2024, 15.30, 59.54, 58.94, 984.47
13:34:34 15/01/2024, 15.29, 59.52, 58.93, 984.54
13:34:44 15/01/2024, 15.31, 59.55, 58.95, 984.51
13:34:54 15/01/2024, 15.30, 59.54, 58.93, 984.47
13:35:04 15/01/2024, 15.31, 59.56, 58.92, 984.54
13:35:14 15/01/2024, 15.31, 59.56, 58.92, 984.49
13:35:24 15/01/2024, 15.30, 59.54, 58.91, 984.52
13:35:34 15/01/2024, 15.30, 59.54, 58.91, 984.58
13:35:44 15/01/2024, 15.30, 59.54, 58.92, 984.52
13:35:54 15/01/2024, 15.31, 59.55, 58.92, 984.48
13:36:04 15/01/2024, 15.30, 59.53, 58.93, 984.52
13:36:14 15/01/2024, 15.30, 59.54, 58.92, 984.50
13:36:24 15/01/2024, 15.31, 59.56, 58.94, 984.49
13:36:34 15/01/2024, 15.31, 59.56, 58.94, 984.49
13:36:45 15/01/2024, 15.30, 59.54, 58.92, 984.52
13:36:55 15/01/2024, 15.31, 59.56, 58.94, 984.51
13:37:05 15/01/2024, 15.31, 59.55, 58.94, 984.48
13:37:15 15/01/2024, 15.31, 59.55, 58.94, 984.51
13:37:25 15/01/2024, 15.30, 59.53, 58.93, 984.46
13:37:35 15/01/2024, 15.29, 59.52, 58.96, 984.43
13:37:45 15/01/2024, 15.30, 59.53, 58.97, 984.49
13:37:55 15/01/2024, 15.29, 59.52, 58.97, 984.51
13:38:05 15/01/2024, 15.30, 59.54, 58.98, 984.47
13:38:15 15/01/2024, 15.30, 59.54, 58.98, 984.47
13:38:25 15/01/2024, 15.30, 59.54, 58.98, 984.47
13:38:35 15/01/2024, 15.29, 59.52, 58.98, 984.51
13:38:45 15/01/2024, 15.30, 59.53, 58.97, 984.52
13:38:55 15/01/2024, 15.30, 59.54, 58.98, 984.52
13:39:05 15/01/2024, 15.30, 59.54, 58.98, 984.50
13:39:15 15/01/2024, 15.30, 59.54, 58.99, 984.52
13:39:25 15/01/2024, 15.30, 59.54, 59.01, 984.50
13:39:35 15/01/2024, 15.30, 59.53, 59.00, 984.52
13:39:45 15/01/2024, 15.30, 59.53, 58.99, 984.52
13:39:55 15/01/2024, 15.30, 59.54, 59.00, 984.47
13:40:05 15/01/2024, 15.30, 59.54, 59.00, 984.47
13:40:15 15/01/2024, 15.30, 59.54, 59.00, 984.58
13:40:25 15/01/2024, 15.30, 59.54, 59.00, 984.52
13:40:35 15/01/2024, 15.29, 59.52, 59.00, 984.45
13:40:45 15/01/2024, 15.30, 59.53, 59.01, 984.46
13:40:55 15/01/2024, 15.30, 59.53, 59.03, 984.46
13:41:05 15/01/2024, 15.30, 59.54, 59.03, 984.50
13:41:15 15/01/2024, 15.30, 59.53, 59.03, 984.41
13:41:25 15/01/2024, 15.30, 59.54, 59.04, 984.52
13:41:35 15/01/2024, 15.29, 59.52, 59.04, 984.45
13:41:45 15/01/2024, 15.30, 59.54, 59.03, 984.47
13:41:55 15/01/2024, 15.29, 59.52, 59.03, 984.48
13:42:06 15/01/2024, 15.29, 59.52, 59.07, 984.51
13:42:16 15/01/2024, 15.29, 59.52, 59.06, 984.51
13:42:26 15/01/2024, 15.29, 59.52, 59.07, 984.45
13:42:36 15/01/2024, 15.30, 59.53, 59.07, 984.43
13:42:46 15/01/2024, 15.30, 59.54, 59.06, 984.47
13:42:56 15/01/2024, 15.30, 59.54, 59.05, 984.44
13:43:06 15/01/2024, 15.30, 59.53, 59.07, 984.46
13:43:16 15/01/2024, 15.30, 59.53, 59.07, 984.46
13:43:26 15/01/2024, 15.29, 59.52, 59.08, 984.40
13:43:36 15/01/2024, 15.29, 59.52, 59.07, 984.51
13:43:46 15/01/2024, 15.30, 59.54, 59.06, 984.52
13:43:56 15/01/2024, 15.30, 59.53, 59.06, 984.52
13:44:06 15/01/2024, 15.29, 59.52, 59.06, 984.45
13:44:16 15/01/2024, 15.29, 59.52, 59.06, 984.51
13:44:26 15/01/2024, 15.30, 59.53, 59.07, 984.46
13:44:36 15/01/2024, 15.30, 59.53, 59.07, 984.46
13:44:46 15/01/2024, 15.29, 59.52, 59.08, 984.51
13:44:56 15/01/2024, 15.29, 59.52, 59.08, 984.50
13:45:06 15/01/2024, 15.29, 59.52, 59.08, 984.53
13:45:16 15/01/2024, 15.30, 59.53, 59.08, 984.57
13:45:26 15/01/2024, 15.28, 59.51, 59.08, 984.57
13:45:36 15/01/2024, 15.29, 59.52, 59.09, 984.56
13:45:46 15/01/2024, 15.29, 59.52, 59.10, 984.56
13:45:56 15/01/2024, 15.30, 59.53, 59.10, 984.60
13:46:06 15/01/2024, 15.30, 59.53, 59.10, 984.49
13:46:16 15/01/2024, 15.29, 59.52, 59.10, 984.51
13:46:26 15/01/2024, 15.29, 59.52, 59.09, 984.54
13:46:36 15/01/2024, 15.29, 59.52, 59.10, 984.50
13:46:46 15/01/2024, 15.29, 59.52, 59.08, 984.56
13:46:56 15/01/2024, 15.30, 59.54, 59.09, 984.58
13:47:06 15/01/2024, 15.30, 59.54, 59.10, 984.58
13:47:16 15/01/2024, 15.30, 59.53, 59.07, 984.52
13:47:27 15/01/2024, 15.31, 59.55, 59.07, 984.59
13:47:37 15/01/2024, 15.30, 59.54, 59.08, 984.52
13:47:47 15/01/2024, 15.30, 59.54, 59.08, 984.55
13:47:57 15/01/2024, 15.30, 59.54, 59.08, 984.47
13:48:07 15/01/2024, 15.31, 59.56, 59.09, 984.57
13:48:17 15/01/2024, 15.30, 59.54, 59.07, 984.58
13:48:27 15/01/2024, 15.30, 59.53, 59.08, 984.54
13:48:37 15/01/2024, 15.30, 59.54, 59.08, 984.52
13:48:47 15/01/2024, 15.30, 59.54, 59.08, 984.55
13:48:57 15/01/2024, 15.31, 59.56, 59.10, 984.54
13:49:07 15/01/2024, 15.30, 59.54, 59.11, 984.52
13:49:17 15/01/2024, 15.30, 59.54, 59.12, 984.52
13:49:27 15/01/2024, 15.30, 59.53, 59.11, 984.49
13:49:37 15/01/2024, 15.30, 59.53, 59.10, 984.54
13:49:47 15/01/2024, 15.30, 59.53, 59.11, 984.52
13:49:57 15/01/2024, 15.29, 59.52, 59.12, 984.51
13:50:07 15/01/2024, 15.30, 59.54, 59.12, 984.55
13:50:17 15/01/2024, 15.29, 59.52, 59.12, 984.54
13:50:27 15/01/2024, 15.29, 59.52, 59.13, 984.51
13:50:37 15/01/2024, 15.29, 59.52, 59.15, 984.48
13:50:47 15/01/2024, 15.30, 59.53, 59.13, 984.49
13:50:57 15/01/2024, 15.29, 59.52, 59.14, 984.56
13:51:07 15/01/2024, 15.29, 59.52, 59.12, 984.54
13:51:17 15/01/2024, 15.29, 59.52, 59.15, 984.48
13:51:27 15/01/2024, 15.29, 59.52, 59.16, 984.56
13:51:37 15/01/2024, 15.29, 59.52, 59.13, 984.51
13:51:47 15/01/2024, 15.30, 59.53, 59.15, 984.57
13:51:57 15/01/2024, 15.29, 59.52, 59.11, 984.59
13:52:07 15/01/2024, 15.29, 59.52, 59.14, 984.54
13:52:17 15/01/2024, 15.30, 59.54, 59.13, 984.52
13:52:27 15/01/2024, 15.30, 59.53, 59.14, 984.54
13:52:38 15/01/2024, 15.30, 59.53, 59.15, 984.49
13:52:48 15/01/2024, 15.29, 59.52, 59.16, 984.50
13:52:58 15/01/2024, 15.29, 59.52, 59.16, 984.51
13:53:08 15/01/2024, 15.28, 59.51, 59.17, 984.46
13:53:18 15/01/2024, 15.29, 59.52, 59.19, 984.50
13:53:28 15/01/2024, 15.28, 59.51, 59.18, 984.49
13:53:38 15/01/2024, 15.29, 59.52, 59.17, 984.56
13:53:48 15/01/2024, 15.29, 59.52, 59.17, 984.51
13:53:58 15/01/2024, 15.28, 59.51, 59.17, 984.46
13:54:08 15/01/2024, 15.29, 59.52, 59.17, 984.50
13:54:18 15/01/2024, 15.28, 59.51, 59.17, 984.44
13:54:28 15/01/2024, 15.28, 59.51, 59.16, 984.46
13:54:38 15/01/2024, 15.28, 59.51, 59.17, 984.49
13:54:48 15/01/2024, 15.29, 59.52, 59.16, 984.51
13:54:58 15/01/2024, 15.29, 59.52, 59.16, 984.54
13:55:08 15/01/2024, 15.29, 59.52, 59.17, 984.51
13:55:18 15/01/2024, 15.29, 59.52, 59.17, 984.56
13:55:28 15/01/2024, 15.30, 59.53, 59.16, 984.52
13:55:38 15/01/2024, 15.30, 59.53, 59.16, 984.54
13:55:48 15/01/2024, 15.29, 59.52, 59.18, 984.48
13:55:58 15/01/2024, 15.29, 59.52, 59.17, 984.56
13:56:08 15/01/2024, 15.30, 59.53, 59.15, 984.60
13:56:18 15/01/2024, 15.29, 59.52, 59.16, 984.51
13:56:28 15/01/2024, 15.29, 59.52, 59.17, 984.51
13:56:38 15/01/2024, 15.28, 59.50, 59.18, 984.51
13:56:48 15/01/2024, 15.29, 59.52, 59.17, 984.51
13:56:58 15/01/2024, 15.30, 59.53, 59.16, 984.52
13:57:08 15/01/2024, 15.29, 59.52, 59.18, 984.65
13:57:18 15/01/2024, 15.29, 59.52, 59.17, 984.59
13:57:28 15/01/2024, 15.30, 59.53, 59.16, 984.60
13:57:38 15/01/2024, 15.31, 59.55, 59.15, 984.59
13:57:48 15/01/2024, 15.29, 59.52, 59.14, 984.59
13:57:59 15/01/2024, 15.31, 59.55, 59.16, 984.53
13:58:09 15/01/2024, 15.30, 59.53, 59.14, 984.46
13:58:19 15/01/2024, 15.30, 59.54, 59.15, 984.50
13:58:29 15/01/2024, 15.31, 59.55, 59.11, 984.53
13:58:39 15/01/2024, 15.30, 59.53, 59.13, 984.57
13:58:49 15/01/2024, 15.30, 59.54, 59.12, 984.50
13:58:59 15/01/2024, 15.31, 59.56, 59.10, 984.54
13:59:09 15/01/2024, 15.31, 59.56, 59.10, 984.54
13:59:19 15/01/2024, 15.32, 59.57, 59.12, 984.49
13:59:29 15/01/2024, 15.32, 59.58, 59.10, 984.50
13:59:39 15/01/2024, 15.32, 59.57, 59.10, 984.47
13:59:49 15/01/2024, 15.30, 59.54, 59.08, 984.52
13:59:59 15/01/2024, 15.32, 59.57, 59.11, 984.49
14:00:09 15/01/2024, 15.31, 59.55, 59.09, 984.42
14:00:19 15/01/2024, 15.32, 59.58, 59.08, 984.47
14:00:29 15/01/2024, 15.32, 59.58, 59.07, 984.56
14:00:39 15/01/2024, 15.33, 59.59, 59.07, 984.51
14:00:49 15/01/2024, 15.32, 59.57, 59.06, 984.60
14:00:59 15/01/2024, 15.32, 59.58, 59.06, 984.56
14:01:09 15/01/2024, 15.32, 59.58, 59.08, 984.53
14:01:19 15/01/2024, 15.31, 59.56, 59.08, 984.49
14:01:29 15/01/2024, 15.32, 59.58, 59.08, 984.45
14:01:39 15/01/2024, 15.32, 59.58, 59.06, 984.50
14:01:49 15/01/2024, 15.33, 59.60, 59.06, 984.55
14:01:59 15/01/2024, 15.32, 59.58, 59.07, 984.56
14:02:09 15/01/2024, 15.32, 59.58, 59.07, 984.56
14:02:19 15/01/2024, 15.32, 59.58, 59.09, 984.56
14:02:29 15/01/2024, 15.32, 59.58, 59.06, 984.56
14:02:39 15/01/2024, 15.33, 59.60, 59.07, 984.57
14:02:49 15/01/2024, 15.32, 59.58, 59.07, 984.56
14:02:59 15/01/2024, 15.33, 59.59, 59.07, 984.56
14:03:10 15/01/2024, 15.33, 59.59, 59.07, 984.48
14:03:20 15/01/2024, 15.33, 59.60, 59.07, 984.63
14:03:30 15/01/2024, 15.32, 59.58, 59.07, 984.56
14:03:40 15/01/2024, 15.33, 59.59, 59.07, 984.59
14:03:50 15/01/2024, 15.32, 59.58, 59.07, 984.61
14:04:00 15/01/2024, 15.32, 59.58, 59.06, 984.56
14:04:10 15/01/2024, 15.32, 59.57, 59.09, 984.52
14:04:20 15/01/2024, 15.32, 59.58, 59.07, 984.53
14:04:30 15/01/2024, 15.31, 59.56, 59.07, 984.38
14:04:40 15/01/2024, 15.31, 59.55, 59.08, 984.42
14:04:50 15/01/2024, 15.32, 59.58, 59.09, 984.53
14:05:00 15/01/2024, 15.31, 59.56, 59.10, 984.54
14:05:10 15/01/2024, 15.32, 59.58, 59.09, 984.47
14:05:20 15/01/2024, 15.32, 59.58, 59.07, 984.50
14:05:30 15/01/2024, 15.32, 59.58, 59.09, 984.47
14:05:40 15/01/2024, 15.31, 59.56, 59.10, 984.54
14:05:50 15/01/2024, 15.32, 59.57, 59.07, 984.47
14:06:00 15/01/2024, 15.32, 59.58, 59.09, 984.58
14:06:10 15/01/2024, 15.31, 59.56, 59.09, 984.54
14:06:20 15/01/2024, 15.32, 59.57, 59.11, 984.55
14:06:30 15/01/2024, 15.32, 59.57, 59.10, 984.55
14:06:40 15/01/2024, 15.31, 59.56, 59.10, 984.54
14:06:50 15/01/2024, 15.31, 59.55, 59.10, 984.56
14:07:00 15/01/2024, 15.31, 59.56, 59.10, 984.49
14:07:10 15/01/2024, 15.31, 59.56, 59.10, 984.60
14:07:20 15/01/2024, 15.31, 59.56, 59.08, 984.57
14:07:30 15/01/2024, 15.31, 59.56, 59.10, 984.57
14:07:40 15/01/2024, 15.31, 59.56, 59.09, 984.60
14:07:50 15/01/2024, 15.31, 59.56, 59.12, 984.57
14:08:00 15/01/2024, 15.31, 59.55, 59.10, 984.53
14:08:10 15/01/2024, 15.31, 59.55, 59.11, 984.59
14:08:20 15/01/2024, 15.32, 59.58, 59.10, 984.56
14:08:31 15/01/2024, 15.33, 59.59, 59.10, 984.54
14:08:41 15/01/2024, 15.33, 59.59, 59.09, 984.51
14:08:51 15/01/2024, 15.33, 59.60, 59.06, 984.57
14:09:01 15/01/2024, 15.33, 59.59, 59.05, 984.48
14:09:11 15/01/2024, 15.31, 59.56, 59.08, 984.51
14:09:21 15/01/2024, 15.32, 59.58, 59.08, 984.45
14:09:31 15/01/2024, 15.33, 59.60, 59.07, 984.55
14:09:41 15/01/2024, 15.32, 59.58, 59.08, 984.50
14:09:51 15/01/2024, 15.32, 59.58, 59.09, 984.47
14:10:01 15/01/2024, 15.32, 59.58, 59.08, 984.50
14:10:11 15/01/2024, 15.33, 59.59, 59.07, 984.45
14:10:21 15/01/2024, 15.33, 59.59, 59.07, 984.45
14:10:31 15/01/2024, 15.33, 59.59, 59.06, 984.54
14:10:41 15/01/2024, 15.33, 59.60, 59.05, 984.41
14:10:51 15/01/2024, 15.32, 59.57, 59.07, 984.41
14:11:01 15/01/2024, 15.33, 59.59, 59.08, 984.35
14:11:11 15/01/2024, 15.33, 59.59, 59.07, 984.45
14:11:21 15/01/2024, 15.33, 59.60, 59.06, 984.49
14:11:31 15/01/2024, 15.33, 59.59, 59.06, 984.51
14:11:41 15/01/2024, 15.33, 59.59, 59.06, 984.51
14:11:51 15/01/2024, 15.33, 59.59, 59.08, 984.40
14:12:01 15/01/2024, 15.33, 59.59, 59.08, 984.51
14:12:11 15/01/2024, 15.32, 59.58, 59.10, 984.45
14:12:21 15/01/2024, 15.32, 59.58, 59.08, 984.45
14:12:31 15/01/2024, 15.32, 59.58, 59.09, 984.50
14:12:41 15/01/2024, 15.33, 59.60, 59.09, 984.46
14:12:51 15/01/2024, 15.32, 59.58, 59.08, 984.36
14:13:01 15/01/2024, 15.33, 59.60, 59.07, 984.49
14:13:11 15/01/2024, 15.33, 59.60, 59.11, 984.41
14:13:21 15/01/2024, 15.32, 59.58, 59.11, 984.45
14:13:31 15/01/2024, 15.33, 59.59, 59.11, 984.43
14:13:42 15/01/2024, 15.33, 59.60, 59.11, 984.41
14:13:52 15/01/2024, 15.33, 59.59, 59.11, 984.45
14:14:02 15/01/2024, 15.32, 59.58, 59.11, 984.45
14:14:12 15/01/2024, 15.32, 59.58, 59.12, 984.42
14:14:22 15/01/2024, 15.32, 59.58, 59.12, 984.42
14:14:32 15/01/2024, 15.32, 59.57, 59.12, 984.44
14:14:42 15/01/2024, 15.32, 59.57, 59.12, 984.49
14:14:52 15/01/2024, 15.32, 59.58, 59.10, 984.45
14:15:02 15/01/2024, 15.31, 59.56, 59.13, 984.49
14:15:12 15/01/2024, 15.32, 59.57, 59.16, 984.44
14:15:22 15/01/2024, 15.33, 59.60, 59.15, 984.46
14:15:32 15/01/2024, 15.32, 59.58, 59.15, 984.45
14:15:42 15/01/2024, 15.32, 59.57, 59.16, 984.52
14:15:52 15/01/2024, 15.31, 59.56, 59.16, 984.43
14:16:02 15/01/2024, 15.31, 59.55, 59.19, 984.37
14:16:12 15/01/2024, 15.33, 59.59, 59.18, 984.45
14:16:22 15/01/2024, 15.31, 59.56, 59.18, 984.43
14:16:32 15/01/2024, 15.31, 59.56, 59.20, 984.49
14:16:42 15/01/2024, 15.32, 59.57, 59.19, 984.47
14:16:52 15/01/2024, 15.30, 59.54, 59.17, 984.41
14:17:02 15/01/2024, 15.31, 59.55, 59.18, 984.42
14:17:12 15/01/2024, 15.31, 59.56, 59.18, 984.43
14:17:22 15/01/2024, 15.32, 59.57, 59.16, 984.49
14:17:32 15/01/2024, 15.32, 59.57, 59.16, 984.49
14:17:42 15/01/2024, 15.31, 59.56, 59.15, 984.46
14:17:52 15/01/2024, 15.32, 59.58, 59.17, 984.50
14:18:02 15/01/2024, 15.33, 59.59, 59.15, 984.45
14:18:12 15/01/2024, 15.31, 59.56, 59.16, 984.43
14:18:22 15/01/2024, 15.30, 59.54, 59.17, 984.41
14:18:32 15/01/2024, 15.32, 59.58, 59.17, 984.47
14:18:42 15/01/2024, 15.32, 59.57, 59.16, 984.47
14:18:52 15/01/2024, 15.31, 59.56, 59.17, 984.43
14:19:03 15/01/2024, 15.32, 59.57, 59.16, 984.47
14:19:13 15/01/2024, 15.31, 59.56, 59.18, 984.43
14:19:23 15/01/2024, 15.32, 59.58, 59.17, 984.42
14:19:33 15/01/2024, 15.33, 59.60, 59.16, 984.46
14:19:43 15/01/2024, 15.33, 59.59, 59.15, 984.48
14:19:53 15/01/2024, 15.34, 59.61, 59.15, 984.44
14:20:03 15/01/2024, 15.32, 59.58, 59.13, 984.45
14:20:13 15/01/2024, 15.34, 59.61, 59.15, 984.44
14:20:23 15/01/2024, 15.32, 59.58, 59.15, 984.47
14:20:33 15/01/2024, 15.32, 59.58, 59.16, 984.50
14:20:43 15/01/2024, 15.32, 59.58, 59.17, 984.42
14:20:53 15/01/2024, 15.32, 59.57, 59.17, 984.44
14:21:03 15/01/2024, 15.32, 59.58, 59.18, 984.31
14:21:13 15/01/2024, 15.32, 59.57, 59.19, 984.47
14:21:23 15/01/2024, 15.32, 59.57, 59.20, 984.38
14:21:33 15/01/2024, 15.32, 59.57, 59.18, 984.47
14:21:43 15/01/2024, 15.32, 59.58, 59.18, 984.42
14:21:53 15/01/2024, 15.32, 59.58, 59.19, 984.47
14:22:03 15/01/2024, 15.32, 59.58, 59.18, 984.45
14:22:13 15/01/2024, 15.33, 59.60, 59.17, 984.46
14:22:23 15/01/2024, 15.32, 59.58, 59.18, 984.47
14:22:33 15/01/2024, 15.31, 59.56, 59.19, 984.49
14:22:43 15/01/2024, 15.31, 59.56, 59.18, 984.49
14:22:53 15/01/2024, 15.32, 59.58, 59.21, 984.45
14:23:03 15/01/2024, 15.32, 59.57, 59.21, 984.47
14:23:13 15/01/2024, 15.31, 59.56, 59.20, 984.40
14:23:23 15/01/2024, 15.32, 59.57, 59.20, 984.44
14:23:33 15/01/2024, 15.30, 59.54, 59.21, 984.50
14:23:43 15/01/2024, 15.31, 59.56, 59.21, 984.51
14:23:53 15/01/2024, 15.31, 59.56, 59.22, 984.49
14:24:03 15/01/2024, 15.33, 59.59, 59.23, 984.45
14:24:13 15/01/2024, 15.33, 59.59, 59.21, 984.51
14:24:24 15/01/2024, 15.33, 59.60, 59.20, 984.46
14:24:34 15/01/2024, 15.33, 59.59, 59.19, 984.48
14:24:44 15/01/2024, 15.33, 59.59, 59.18, 984.40
14:24:54 15/01/2024, 15.34, 59.61, 59.18, 984.53
14:25:04 15/01/2024, 15.33, 59.60, 59.20, 984.49
14:25:14 15/01/2024, 15.34, 59.62, 59.19, 984.48
14:25:24 15/01/2024, 15.35, 59.63, 59.19, 984.49
14:25:34 15/01/2024, 15.33, 59.60, 59.20, 984.49
14:25:44 15/01/2024, 15.33, 59.59, 59.23, 984.51
14:25:54 15/01/2024, 15.33, 59.60, 59.22, 984.49
14:26:04 15/01/2024, 15.32, 59.58, 59.23, 984.50
14:26:14 15/01/2024, 15.33, 59.59, 59.22, 984.45
14:26:24 15/01/2024, 15.33, 59.59, 59.20, 984.45
14:26:34 15/01/2024, 15.33, 59.59, 59.21, 984.48
14:26:44 15/01/2024, 15.32, 59.58, 59.21, 984.50
14:26:54 15/01/2024, 15.33, 59.60, 59.21, 984.41
14:27:04 15/01/2024, 15.33, 59.59, 59.22, 984.37
14:27:14 15/01/2024, 15.33, 59.59, 59.23, 984.45
14:27:24 15/01/2024, 15.33, 59.60, 59.21, 984.44
14:27:34 15/01/2024, 15.33, 59.60, 59.20, 984.52
14:27:44 15/01/2024, 15.32, 59.58, 59.22, 984.45
14:27:54 15/01/2024, 15.33, 59.59, 59.23, 984.48
14:28:04 15/01/2024, 15.32, 59.58, 59.22, 984.42
14:28:14 15/01/2024, 15.33, 59.59, 59.23, 984.43
14:28:24 15/01/2024, 15.32, 59.58, 59.23, 984.45
14:28:34 15/01/2024, 15.33, 59.59, 59.22, 984.43
14:28:44 15/01/2024, 15.33, 59.60, 59.22, 984.41
14:28:54 15/01/2024, 15.33, 59.60, 59.21, 984.44
14:29:04 15/01/2024, 15.33, 59.59, 59.23, 984.51
14:29:14 15/01/2024, 15.33, 59.59, 59.21, 984.37
14:29:24 15/01/2024, 15.33, 59.60, 59.21, 984.44
14:29:34 15/01/2024, 15.34, 59.62, 59.20, 984.48
14:29:45 15/01/2024, 15.34, 59.61, 59.21, 984.39
14:29:55 15/01/2024, 15.32, 59.58, 59.23, 984.47
14:30:05 15/01/2024, 15.33, 59.60, 59.24, 984.44
14:30:15 15/01/2024, 15.33, 59.60, 59.23, 984.41
14:30:25 15/01/2024, 15.33, 59.60, 59.22, 984.41
14:30:35 15/01/2024, 15.33, 59.60, 59.24, 984.46
14:30:45 15/01/2024, 15.32, 59.58, 59.23, 984.45
14:30:55 15/01/2024, 15.33, 59.59, 59.23, 984.48
14:31:05 15/01/2024, 15.32, 59.57, 59.25, 984.49
14:31:15 15/01/2024, 15.33, 59.59, 59.27, 984.43
14:31:25 15/01/2024, 15.32, 59.57, 59.26, 984.52
14:31:35 15/01/2024, 15.32, 59.58, 59.23, 984.45
14:31:45 15/01/2024, 15.32, 59.58, 59.26, 984.45
14:31:55 15/01/2024, 15.32, 59.58, 59.26, 984.45
14:32:05 15/01/2024, 15.32, 59.58, 59.26, 984.50
14:32:15 15/01/2024, 15.32, 59.58, 59.26, 984.45
14:32:25 15/01/2024, 15.33, 59.60, 59.27, 984.52
14:32:35 15/01/2024, 15.33, 59.59, 59.26, 984.45
14:32:45 15/01/2024, 15.33, 59.59, 59.27, 984.48
14:32:55 15/01/2024, 15.32, 59.57, 59.26, 984.55
14:33:05 15/01/2024, 15.33, 59.60, 59.27, 984.44
14:33:15 15/01/2024, 15.32, 59.58, 59.26, 984.47
14:33:25 15/01/2024, 15.33, 59.59, 59.26, 984.43
14:33:35 15/01/2024, 15.32, 59.58, 59.28, 984.47
14:33:45 15/01/2024, 15.31, 59.56, 59.26, 984.49
14:33:55 15/01/2024, 15.31, 59.56, 59.28, 984.51
14:34:05 15/01/2024, 15.31, 59.56, 59.31, 984.54
14:34:15 15/01/2024, 15.31, 59.56, 59.29, 984.54
14:34:25 15/01/2024, 15.31, 59.55, 59.28, 984.51
14:34:35 15/01/2024, 15.32, 59.57, 59.28, 984.49
14:34:45 15/01/2024, 15.31, 59.56, 59.30, 984.49
14:34:55 15/01/2024, 15.13, 59.23, 59.29, 984.17
14:35:06 15/01/2024, 15.32, 59.57, 59.28, 984.60
14:35:16 15/01/2024, 15.31, 59.56, 59.29, 984.51
14:35:26 15/01/2024, 15.31, 59.56, 59.30, 984.60
14:35:36 15/01/2024, 15.31, 59.56, 59.31, 984.49
14:35:46 15/01/2024, 15.31, 59.56, 59.30, 984.54
14:35:56 15/01/2024, 15.31, 59.56, 59.31, 984.54
14:36:06 15/01/2024, 15.31, 59.56, 59.31, 984.49
14:36:16 15/01/2024, 15.32, 59.58, 59.30, 984.50
14:36:26 15/01/2024, 15.32, 59.58, 59.28, 984.53
14:36:36 15/01/2024, 15.32, 59.58, 59.28, 984.56
14:36:46 15/01/2024, 15.31, 59.56, 59.33, 984.51
14:36:56 15/01/2024, 15.31, 59.56, 59.29, 984.54
14:37:06 15/01/2024, 15.31, 59.56, 59.32, 984.49
14:37:16 15/01/2024, 15.31, 59.56, 59.32, 984.54
14:37:26 15/01/2024, 15.31, 59.55, 59.31, 984.56
14:37:36 15/01/2024, 15.31, 59.56, 59.32, 984.60
14:37:46 15/01/2024, 15.31, 59.56, 59.31, 984.57
14:37:56 15/01/2024, 15.32, 59.58, 59.30, 984.61
14:38:06 15/01/2024, 15.32, 59.58, 59.30, 984.53
14:38:16 15/01/2024, 15.33, 59.60, 59.28, 984.60
14:38:26 15/01/2024, 15.33, 59.59, 59.32, 984.51
14:38:36 15/01/2024, 15.31, 59.56, 59.33, 984.51
14:38:46 15/01/2024, 15.31, 59.56, 59.30, 984.54
14:38:56 15/01/2024, 15.31, 59.55, 59.30, 984.48
14:39:06 15/01/2024, 15.33, 59.59, 59.30, 984.51
14:39:16 15/01/2024, 15.31, 59.56, 59.31, 984.51
14:39:26 15/01/2024, 15.31, 59.56, 59.32, 984.51
14:39:36 15/01/2024, 15.31, 59.55, 59.33, 984.48
14:39:46 15/01/2024, 15.31, 59.56, 59.33, 984.43
14:39:56 15/01/2024, 15.31, 59.55, 59.33, 984.42
14:40:06 15/01/2024, 15.30, 59.54, 59.33, 984.44
14:40:17 15/01/2024, 15.31, 59.55, 59.34, 984.45
14:40:27 15/01/2024, 15.31, 59.55, 59.33, 984.53
14:40:37 15/01/2024, 15.30, 59.54, 59.32, 984.52
14:40:47 15/01/2024, 15.31, 59.56, 59.33, 984.49
14:40:57 15/01/2024, 15.31, 59.56, 59.33, 984.54
14:41:07 15/01/2024, 15.31, 59.55, 59.33, 984.56
14:41:17 15/01/2024, 15.31, 59.56, 59.33, 984.54
14:41:27 15/01/2024, 15.31, 59.56, 59.32, 984.54
14:41:37 15/01/2024, 15.32, 59.57, 59.32, 984.52
14:41:47 15/01/2024, 15.31, 59.56, 59.32, 984.49
14:41:57 15/01/2024, 15.31, 59.56, 59.32, 984.51
14:42:07 15/01/2024, 15.30, 59.54, 59.34, 984.44
14:42:17 15/01/2024, 15.31, 59.56, 59.35, 984.51
14:42:27 15/01/2024, 15.31, 59.55, 59.34, 984.56
14:42:37 15/01/2024, 15.32, 59.57, 59.34, 984.52
14:42:47 15/01/2024, 15.31, 59.55, 59.36, 984.51
14:42:57 15/01/2024, 15.31, 59.55, 59.36, 984.51
